Methods,Time,Micro-F1,Macro-F1,Mod
node2vec,359.6592,28.81,25.24,46.23
PhUSION (P),72.2466,31.54,27.11,46.30
PaCEr (P),172.2412,34.75,30.97,46.44
struc2vec,292.1057,40.03,33.78,0.80
PhUSION (I),476.5349,40.82,33.49,6.62
PaCEr (I),150.3713,41.77,32.94,-4.82
RandNE,3.7662,30.19,24.66,7.05
LouvainNE,0.3428,27.82,21.58,46.28
SketchNE,1.3812,31.51,25.83,46.16
node2binary,128.7087,26.51,22.33,28.06
S3GC,32.2573,31.61,25.92,44.25
MAGI,21.7904,37.72,30.05,33.00
GraLSP,249.4036,41.55,33.35,4.58
DRSR,11.6590,43.72,35.78,10.90
DGI,2.3272,42.14,33.77,5.69
GraphMAE2,4.7755,39.13,31.47,0.63
GGD,1.6110,40.33,34.07,5.42
E2Neg,7.2887,41.00,33.82,1.55
PI-HIST (R),0.0078,29.38,23.69,45.16
PI-HIST (A),0.6730,43.39,35.18,2.28
