Methods,Time,Micro-F1,Macro-F1,Cond
node2vec,OOT,OOT,OOT,OOT
PhUSION (P),OOM,OOM,OOM,OOM
PaCEr (P),OOM,OOM,OOM,OOM
struc2vec,OOT,OOT,OOT,OOT
PhUSION (I),OOM,OOM,OOM,OOM
PaCEr (I),OOM,OOM,OOM,OOM
RandNE,78.4991,91.30,92.98,74.13
LouvainNE,9.1255,98.63,98.50,67.31
SketchNE,9.8709,99.08,99.02,68.16
node2binary,OOM,OOM,OOM,OOM
S3GC,1442.9805,94.98,94.30,68.00
MAGI,1198.7392,67.96,71.42,82.16
GraLSP,OOM,OOM,OOM,OOM
DRSR,OOM,OOM,OOM,OOM
DGI,48.3331,27.07,21.83,70.49
GraphMAE2,38.4175,20.51,10.95,76.59
GGD,16.7129,58.58,60.43,67.33
E2Neg,42.2155,54.38,57.03,85.31
PI-HIST (R),0.1099,98.84,98.85,68.91
PI-HIST (A),17.3222,43.49,41.65,56.70
