Methods,Time,Micro-F1,Macro-F1,Cond
node2vec,1613.4396,34.18,21.32,77.84
PhUSION (P),257.2738,39.05,25.01,78.58
PaCEr (P),901.4042,31.57,21.16,68.32
struc2vec,1094.7581,12.04,4.85,74.71
PhUSION (I),1292.3129,10.35,5.97,50.32
PaCEr (I),849.3407,16.29,3.47,60.38
RandNE,123.8933,29.67,13.09,50.85
LouvainNE,0.9442,23.06,13.47,82.20
SketchNE,1.9865,40.28,21.91,78.91
node2binary,266.1865,18.23,7.43,79.01
S3GC,120.4018,34.45,15.96,72.65
MAGI,46.9488,18.37,4.32,70.05
GraLSP,1008.7149,15.55,4.23,70.24
DRSR,249.6355,24.54,9.27,54.37
DGI,16.5468,20.10,5.31,69.85
GraphMAE2,4.6504,17.97,4.01,79.13
GGD,9.0169,17.98,3.96,68.37
E2Neg,9.3498,19.57,10.23,61.22
PI-HIST (R),0.0225,39.12,24.93,68.51
PI-HIST (A),2.7563,16.82,5.26,56.32
