Methods,Time,Micro-F1,Macro-F1,Cond
node2vec,OOT,OOT,OOT,OOT
PhUSION (P),OOM,OOM,OOM,OOM
PaCEr (P),OOM,OOM,OOM,OOM
struc2vec,OOT,OOT,OOT,OOT
PhUSION (I),OOM,OOM,OOM,OOM
PaCEr (I),OOM,OOM,OOM,OOM
RandNE,188.6241,45.21,29.96,44.84
LouvainNE,13.9016,55.78,67.12,51.83
SketchNE,12.4036,63.74,70.57,52.47
node2binary,OOM,OOM,OOM,OOM
S3GC,4540.4367,57.29,40.38,53.11
MAGI,1170.9504,26.31,6.22,60.07
GraLSP,OOM,OOM,OOM,OOM
DRSR,OOM,OOM,OOM,OOM
DGI,135.8253,17.91,1.86,67.76
GraphMAE2,65.1096,18.68,2.37,64.03
GGD,30.1133,25.73,28.73,58.29
E2Neg,44.5398,20.31,15.43,69.96
PI-HIST (R),0.1870,61.72,74.60,51.94
PI-HIST (A),20.5245,20.70,4.61,44.95
