Methods,Time,Micro-F1,Macro-F1,Mod
node2vec,7.8438,34.66,33.51,12.74
PhUSION (P),0.2892,32.10,30.89,10.55
PaCEr (P),3.6484,39.72,39.43,9.72
struc2vec,7.8520,52.74,52.33,-5.39
PhUSION (I),1.7452,51.21,49.02,-5.33
PaCEr (I),0.5868,55.05,54.42,-4.43
RandNE,0.0065,49.47,48.67,-1.58
LouvainNE,0.0106,27.01,26.51,18.71
SketchNE,0.7962,37.47,34.21,13.71
node2binary,4.6615,32.63,31.67,14.35
S3GC,34.2107,38.29,34.68,11.31
MAGI,1.2443,38.93,33.97,13.65
GraLSP,28.9134,45.05,43.45,0.43
DRSR,7.1868,53.13,51.95,-4.15
DGI,0.9755,47.69,45.35,0.13
GraphMAE2,1.6811,45.20,43.87,0.80
GGD,1.4241,54.91,53.45,-5.56
E2Neg,6.5305,50.89,50.85,-2.38
PI-HIST (R),0.0018,33.17,31.20,18.68
PI-HIST (A),0.0891,56.65,55.54,-5.33
