Methods,Time,Micro-F1,Macro-F1,Mod
node2vec,1350.7392,44.62,31.11,47.88
PhUSION (P),984.8138,46.15,32.45,46.96
PaCEr (P),600.3852,47.69,33.50,48.21
struc2vec,1550.3701,53.02,31.80,1.42
PhUSION (I),2678.2797,53.20,29.39,7.51
PaCEr (I),364.3486,51.41,29.23,0.05
RandNE,38.9309,51.13,35.69,4.01
LouvainNE,1.1914,42.24,24.34,46.94
SketchNE,2.1744,48.14,29.79,45.84
node2binary,505.5249,40.89,25.53,27.33
S3GC,46.6203,44.41,27.62,45.71
MAGI,248.3692,50.26,28.22,17.83
GraLSP,562.2417,55.99,31.98,2.47
DRSR,36.6790,53.70,32.67,5.92
DGI,7.5095,54.45,30.64,6.64
GraphMAE2,5.3826,53.56,30.02,8.30
GGD,3.6716,54.78,35.33,4.36
E2Neg,8.3918,52.52,32.43,0.65
PI-HIST (R),0.0178,43.96,27.02,45.24
PI-HIST (A),4.8974,58.46,37.13,14.43
