Methods,Time,Micro-F1,Macro-F1,Cond
node2vec,178.8106,18.19,15.73,77.58
PhUSION (P),22.1798,20.15,16.79,77.47
PaCEr (P),64.1417,15.49,13.67,73.30
struc2vec,157.3473,8.10,6.40,71.94
PhUSION (I),143.6224,9.22,4.21,56.14
PaCEr (I),56.3766,9.77,5.85,63.98
RandNE,2.0744,14.92,10.28,73.11
LouvainNE,0.1800,15.12,13.23,79.58
SketchNE,1.0414,20.94,14.61,76.74
node2binary,53.2905,17.47,13.99,83.75
S3GC,107.0300,20.61,14.21,73.82
MAGI,7.3130,13.72,6.62,83.95
GraLSP,128.5290,8.24,5.74,67.28
DRSR,15.1257,12.46,8.61,55.72
DGI,2.1321,11.62,6.54,82.13
GraphMAE2,5.3486,9.64,3.57,76.38
GGD,1.6078,10.45,4.54,76.09
E2Neg,6.9376,10.32,8.68,76.07
PI-HIST (R),0.0061,21.24,16.78,79.75
PI-HIST (A),0.9303,9.77,3.96,63.01
