Methods,Time,Micro-F1,Macro-F1,Mod
node2vec,26.8722,49.33,48.61,26.94
PhUSION (P),1.7797,50.26,49.25,24.24
PaCEr (P),7.3735,50.88,50.74,22.46
struc2vec,32.6666,55.46,54.60,4.21
PhUSION (I),12.3627,59.00,58.06,12.74
PaCEr (I),4.1170,56.53,55.13,-0.34
RandNE,0.0140,54.21,53.32,11.37
LouvainNE,0.0231,45.25,43.94,27.80
SketchNE,0.8249,53.03,51.81,27.94
node2binary,14.1784,46.98,46.21,24.26
S3GC,29.1119,51.84,49.97,26.78
MAGI,1.5214,48.06,45.38,24.15
GraLSP,28.9351,56.33,55.41,4.66
DRSR,7.8639,60.77,59.66,11.74
DGI,1.4196,56.46,55.01,11.28
GraphMAE2,1.6050,51.64,49.72,2.58
GGD,1.3626,56.77,56.50,11.34
E2Neg,6.5868,57.21,56.96,8.34
PI-HIST (R),0.0058,50.36,48.93,27.22
PI-HIST (A),0.1313,60.23,58.66,23.61
